Size_sqft,Bedrooms,Location,Rent_INR
525,1,Bangalore,8700
550,2,Hyderabad,9400
575,3,Chennai,10100
600,4,Mumbai,10800
625,1,Pune,11500
650,2,Delhi,12200
675,3,Noida,12900
700,4,Gurgaon,13600
725,1,Kolkata,14300
750,2,Ahmedabad,15000
775,3,Bangalore,15700
800,4,Hyderabad,16400
825,1,Chennai,17100
850,2,Mumbai,17800
875,3,Pune,18500
900,4,Delhi,19200
925,1,Noida,19900
950,2,Gurgaon,20600
975,3,Kolkata,21300
1000,4,Ahmedabad,22000
1025,1,Bangalore,22700
1050,2,Hyderabad,23400
1075,3,Chennai,24100
1100,4,Mumbai,24800
1125,1,Pune,25500
1150,2,Delhi,26200
1175,3,Noida,26900
1200,4,Gurgaon,27600
1225,1,Kolkata,28300
1250,2,Ahmedabad,29000
1275,3,Bangalore,29700
1300,4,Hyderabad,30400
1325,1,Chennai,31100
1350,2,Mumbai,31800
1375,3,Pune,32500
1400,4,Delhi,33200
1425,1,Noida,33900
1450,2,Gurgaon,34600
1475,3,Kolkata,35300
1500,4,Ahmedabad,36000
1525,1,Bangalore,36700
1550,2,Hyderabad,37400
1575,3,Chennai,38100
1600,4,Mumbai,38800
1625,1,Pune,39500
1650,2,Delhi,40200
1675,3,Noida,40900
1700,4,Gurgaon,41600
1725,1,Kolkata,42300
1750,2,Ahmedabad,43000
